Type,Operator,Struct / Class,RAG 2019,Comments
Combine,append,,,
Combine,buffer,Buffer,,
Combine,combineLatest,"CombineLatest / CombineLatest3
CombineLatest4",,
Combine,merge,Merge / Merge3 / Merge4 / Merge5 / Merge6 / Merge7 / Merge8 / MergeMany,,
Combine,prepend,Concatenate,,
Combine,switchToLatest,SwitchToLatest,,
Combine,tryReduce,TryReduce,,
Combine,zip,Zip / Zip3 / Zip4,,
Creational,Deferred,Deferred,,
Creational,Empty,Empty,,
Creational,Fail,Fail,,
Creational,Future,Future,,
Creational,Just,Just,,
Creational,Record,Record,,
Debug,breakpoint,Breakpoint,,
Debug,breakpointOnError,Breakpoint,,
Debug,print,Print,,
Decode,decode,Decode,,
Decode,encode,Encode,,
Error,assertNoFailure,AssertNoFailure,,
Error,catch,Catch,,
Error,retry,Retry,,
Error,setFailureType,SetFailureType,,
Error,tryCatch,TryCatch,,
Filter,compactMap,CompactMap,,
Filter,drop(count:),Drop,,
Filter,drop(untilOutputFrom:),DropUntilOutput,,
Filter,drop(while:),DropWhile,,
Filter,dropFirst,Drop,,
Filter,filter,Filter,,
Filter,first,First / FirstWhere,,
Filter,prefix,PrefixUntilOutput / PrefixWhile,,
Filter,prefix(untilOutputFrom:),PrefixUntilOutput / PrefixWhile,,
Filter,prefix(while:),PrefixUntilOutput / PrefixWhile,,
Filter,removeDuplicates,RemoveDuplicates,,
Filter,tryCompactMap,TryCompactMap,,
Filter,tryDrop,TryDropWhile,,
Filter,tryFilter,TryFilter,,
Filter,tryFirst,TryFirstWhere,,
Filter,tryLast,TryLastWhere,,
Filter,tryPrefix,TryPrefixWhile,,
Filter,tryRemoveDuplicates,TryRemoveDuplicates,,
Sequence,allSatisfy,AllSatisfy,,
Sequence,contains,Contains / ContainsWhere,,
Sequence,count,Count,,
Sequence,last,Last / LastWhere,,
Sequence,max,Comparison,,
Sequence,min,Comparison,,
Sequence,output,,,
Sequence,reduce,Reduce,,
Sequence,tryAllSatisfy,TryAllSatisfy,,
Sequence,tryContains,TryContainsWhere,,
Sequence,tryMax,TryComparison,,
Sequence,tryMin,TryComparison,,
Share,autoconnect,Autoconnect,,
Share,connect,,,
Share,makeConnectable,MakeConnectable,,
Share,multicast,Multicast,,
Share,share,Share,,
Subscriber,assign,Assign,,
Subscriber,cancel,Cancellable,,
Subscriber,eraseToAnyPublisher,,,
Subscriber,handleEvents,HandleEvents,,
Subscriber,receive,ReceiveOn,,
Subscriber,sink,Sink,,
Subscriber,store,,,
Subscriber,subscribe,SubscribeOn / AnyCancellable,,
Timer,advanced,,,
Timer,debounce,Debounce,,
Timer,delay,Delay,,
Timer,distance,,,
Timer,measureInterval,MeasureInterval,,
Timer,schedule,,,
Timer,throttle,Throttle,,
Timer,timeout,Timeout,,
Transform,collect,Collect / CollectByCount / CollectByTime,,
Transform,flatMap,FlatMap,,
Transform,ignoreOutput,IgnoreOutput,,
Transform,map,Map / MapKeyPath / MapKeyPath2 / MapKeyPath3,,
Transform,mapError,MapError,,
Transform,replaceEmpty,ReplaceEmpty,,
Transform,replaceError,ReplaceError,,
Transform,replaceNil,,,
Transform,scan,Scan,,
Transform,tryMap,TryMap,,
Transform,tryScan,TryScan,,